85	16/07/2009	6	35	38	48	58	76	26	79
84	14/07/2009	33	35	47	51	62	89	5	74
83	11/07/2009	8	21	32	33	60	69	48	64
82	09/07/2009	7	29	57	60	79	87	84	11
81	07/07/2009	41	44	55	56	68	79	40	17
80	04/07/2009	6	35	53	67	75	89	2	66
79	02/07/2009	12	13	38	46	47	72	5	17
78	30/06/2009	12	19	24	51	56	78	3	87
77	27/06/2009	29	56	66	77	88	89	45	39
76	25/06/2009	23	36	38	52	62	63	43	81
75	23/06/2009	2	3	37	38	58	59	24	53
74	20/06/2009	1	7	38	58	62	78	79	74
73	18/06/2009	15	27	31	52	74	77	54	46
72	16/06/2009	6	14	39	47	63	82	74	61
71	13/06/2009	8	19	25	73	76	84	33	78
70	11/06/2009	4	10	24	59	72	83	47	15
69	09/06/2009	14	17	39	47	58	85	61	45
68	06/06/2009	8	14	16	18	56	60	69	20
67	04/06/2009	7	57	60	67	69	90	14	22
66	03/06/2009	32	33	37	43	44	79	74	71
65	30/05/2009	1	13	17	31	58	62	74	2
64	28/05/2009	5	27	37	63	67	77	75	49
63	26/05/2009	6	33	35	64	66	77	85	50
62	23/05/2009	9	25	29	43	48	54	65	12
61	21/05/2009	11	14	17	24	39	48	64	15
60	19/05/2009	36	55	62	66	81	85	9	33
59	16/05/2009	39	50	55	57	78	82	81	52
58	14/05/2009	1	22	41	69	73	89	39	54
57	12/05/2009	4	9	22	23	47	73	45	2
56	09/05/2009	9	11	40	48	68	84	6	47
55	07/05/2009	31	43	67	69	76	80	1	67
54	05/05/2009	7	12	19	43	71	77	44	36
53	02/05/2009	2	25	31	38	45	84	24	62
52	30/04/2009	28	64	65	77	85	89	47	22
51	28/04/2009	11	12	32	55	72	87	88	36
50	27/04/2009	7	40	54	64	69	71	67	70
49	23/04/2009	24	29	40	71	74	78	21	57
48	21/04/2009	19	22	26	59	61	71	57	88
47	18/04/2009	20	46	48	62	71	86	44	80
46	16/04/2009	3	9	17	38	54	62	64	28
45	14/04/2009	2	5	20	43	64	83	66	4
44	11/04/2009	6	34	59	61	83	90	53	60
43	09/04/2009	2	23	36	62	75	79	48	21
42	07/04/2009	3	37	54	65	87	89	58	16
41	04/04/2009	2	3	4	27	34	42	59	55
40	02/04/2009	3	12	16	30	84	89	18	3
39	31/03/2009	2	4	16	20	29	53	65	16
38	28/03/2009	1	10	55	61	72	77	30	75
37	26/03/2009	13	21	70	71	72	85	82	12
36	24/03/2009	1	9	11	21	36	47	29	20
35	21/03/2009	4	39	43	59	74	90	30	26
34	19/03/2009	1	39	40	52	54	64	37	38
33	17/03/2009	3	38	44	50	53	70	22	64
32	14/03/2009	10	15	46	51	65	75	29	17
31	12/03/2009	2	10	19	36	78	90	83	6
30	10/03/2009	33	57	63	65	78	88	55	79
29	07/03/2009	4	14	45	53	77	84	69	57
28	05/03/2009	29	36	37	40	70	75	7	40
27	03/03/2009	20	39	42	45	74	77	81	12
26	28/02/2009	6	26	56	65	69	82	19	14
25	26/02/2009	10	19	25	35	51	73	66	56
24	24/02/2009	33	38	47	67	68	81	51	90
23	21/02/2009	6	39	40	41	50	54	2	34
22	19/02/2009	28	30	32	33	34	52	14	17
21	17/02/2009	17	20	63	78	82	85	42	78
20	14/02/2009	7	32	43	50	68	73	31	13
19	12/02/2009	3	24	31	32	61	85	17	4
18	10/02/2009	11	18	47	80	89	90	70	9
17	07/02/2009	8	23	58	61	76	79	90	71
16	05/02/2009	7	18	27	33	35	43	28	56
15	03/02/2009	11	13	17	49	51	61	8	13
14	31/01/2009	1	3	8	38	83	88	16	85
13	29/01/2009	27	32	55	65	76	86	60	51
12	27/01/2009	20	31	44	51	65	74	71	66
11	24/01/2009	2	4	13	23	28	68	49	13
10	22/01/2009	1	2	40	52	67	82	23	78
9	20/01/2009	19	35	49	52	75	79	41	7
8	17/01/2009	13	17	25	55	64	85	11	36
7	15/01/2009	8	15	24	25	44	55	86	76
6	13/01/2009	9	14	21	55	66	90	4	28
5	10/01/2009	2	15	35	54	60	78	27	64
4	08/01/2009	14	23	24	41	71	73	63	33
3	07/01/2009	14	31	35	40	50	66	68	16
2	03/01/2009	17	24	25	40	58	64	27	51
1	02/01/2009	16	19	29	34	48	64	53	34
157	30/12/2008	23	32	38	40	51	71	48	52
156	27/12/2008	8	25	31	65	87	90	28	1
155	24/12/2008	17	32	33	50	61	82	67	56
154	23/12/2008	30	45	66	69	75	80	63	52
153	20/12/2008	12	14	29	48	49	85	79	14
152	18/12/2008	9	26	29	31	58	70	21	43
151	16/12/2008	17	20	48	62	85	90	69	39
150	13/12/2008	28	32	45	61	63	76	43	11
149	11/12/2008	40	60	68	72	84	89	90	65
148	09/12/2008	1	38	47	50	58	65	22	45
147	06/12/2008	30	46	54	56	72	86	22	85
146	04/12/2008	17	44	49	60	66	81	74	34
145	02/12/2008	8	9	17	33	80	86	22	6
144	29/11/2008	2	3	22	46	61	80	49	68
143	27/11/2008	27	28	46	48	52	70	71	60
142	25/11/2008	19	48	61	73	81	83	22	73
141	22/11/2008	7	30	45	50	55	74	60	17
140	20/11/2008	25	39	43	46	59	67	75	72
139	18/11/2008	3	4	7	44	52	89	47	46
138	15/11/2008	5	7	13	40	52	84	37	21
137	13/11/2008	15	17	24	31	80	86	52	48
136	11/11/2008	6	10	22	48	61	65	58	70
135	08/11/2008	3	31	33	37	52	54	17	42
134	06/11/2008	24	26	31	39	49	81	89	29
133	04/11/2008	6	28	32	39	57	85	47	51
132	03/11/2008	16	21	33	42	52	66	19	75
